,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
2331,"HARROD, MICHAEL",NA,NA,NA,NA,NA
2332,"HARROD, MICHAEL",NA,NA,NA,NA,NA
2333,"HART, MONICA",NA,NA,NA,NA,NA
2334,"HART, MONICA",NA,NA,NA,NA,NA
2335,"HART, MONICA",NA,NA,NA,NA,NA
2336,"HARTENSTINE, DAVID",NA,NA,NA,NA,NA
2337,"HARWOOD, ANGELA",NA,NA,NA,NA,NA
2338,"HASELTINE, CYNTHIA",565,11,8,11,7
2339,"HASKELL, TODD",NA,NA,NA,NA,NA
2340,"HASKELL, TODD",NA,NA,NA,NA,NA
2341,"HASKINS, TARA",NA,NA,NA,NA,NA
2342,"HATHAWAY, NANCY",NA,NA,NA,NA,NA
2343,"HAUG, PETER",NA,NA,NA,NA,NA
2344,"HAYES, MICHAEL",NA,NA,NA,NA,NA
2345,"HAYS, ZACHARY",NA,NA,NA,NA,NA
2346,"HAZELBAKER, CHADRON",NA,NA,NA,NA,NA
2347,"HEADY, MARGARET",NA,NA,NA,NA,NA
2348,"HEARNE, JAMES",NA,NA,NA,NA,NA
2349,"HELFGOTT, LEONARD",NA,NA,NA,NA,NA
2350,"HELFIELD, JAMES",NA,NA,NA,NA,NA
2351,"HELLING, JULIE",NA,NA,NA,NA,NA
2352,"HELLMANN, HANJO",NA,NA,NA,NA,NA
2353,"HELMS, RONALD",858,10,9,10,7
2354,"HEMMENS, CRAIG",1691,24,14,52,21
2355,"HENDERSON, STEPHEN",471,9,7,7,5
2356,"HENNESSY, JUDITH",NA,NA,NA,NA,NA
2357,"HENNING, MARC",NA,NA,NA,NA,NA
2358,"HENSCHEL PELLETT, HEIDI",NA,NA,NA,NA,NA
2359,"HENSCHEL PELLETT, HEIDI",NA,NA,NA,NA,NA
2360,"HENSON, STEVEN",NA,NA,NA,NA,NA
2361,"HEO, DEUK",NA,NA,NA,NA,NA
2362,"HERMES, JENIFER",NA,NA,NA,NA,NA
2363,"HERNANDEZ-PECK, MARIA",NA,NA,NA,NA,NA
2364,"HERR, CHARLES",NA,NA,NA,NA,NA
2365,"HESS, MATTHIAS",NA,NA,NA,NA,NA
2366,"HEUSTIS, THOMAS",NA,NA,NA,NA,NA
2367,"HICKS, GAIL",NA,NA,NA,NA,NA
2368,"HILDENBRAND, KASEE",NA,NA,NA,NA,NA
2369,"HILL, CRAG",NA,NA,NA,NA,NA
2370,"HILL, LAURA",NA,NA,NA,NA,NA
2371,"HILLIARD, RICHARD",NA,NA,NA,NA,NA
2372,"HINES, MELISSA",NA,NA,NA,NA,NA
2373,"HIRSCH, ANNE",NA,NA,NA,NA,NA
2374,"HIRSCH, DAVID",NA,NA,NA,NA,NA
2375,"HOCHSTETLER, LAURIE",NA,NA,NA,NA,NA
2376,"HODGES, LUTHER",NA,NA,NA,NA,NA
2377,"HOEKSTRA, NICOLE",NA,NA,NA,NA,NA
2378,"HOELSCHER, KAREN",NA,NA,NA,NA,NA
2379,"HOFFMAN, ERIC",NA,NA,NA,NA,NA
2380,"HOFFMAN, JOAN",NA,NA,NA,NA,NA
2381,"HOLDEN, LAD",NA,NA,NA,NA,NA
